x,y,z
0.25,1.14E+12,2.21E+15
0.25,2.24E+12,2.12E+15
0.25,3.30E+12,2.12E+15
0.25,4.32E+12,2.05E+15
0.25,5.31E+12,1.98E+15
0.25,6.26E+12,1.91E+15
0.25,7.19E+12,1.84E+15
0.25,8.10E+12,1.78E+15
0.25,8.97E+12,1.72E+15
0.25,9.81E+12,1.66E+15
0.25,1.06E+13,1.60E+15
0.25,1.14E+13,1.55E+15
0.25,1.22E+13,1.49E+15
0.25,1.29E+13,1.44E+15
0.25,1.36E+13,1.40E+15
0.25,1.43E+13,1.35E+15
0.25,1.50E+13,1.30E+15
0.25,1.56E+13,1.26E+15
0.25,1.62E+13,1.22E+15
0.25,1.68E+13,1.18E+15
0.25,1.74E+13,1.14E+15
0.25,1.80E+13,1.10E+15
0.25,1.85E+13,1.07E+15
0.25,1.90E+13,1.03E+15
0.25,1.95E+13,1.00E+15
0.25,2.00E+13,9.68E+14
0.25,2.05E+13,9.38E+14
0.25,2.10E+13,9.08E+14
0.25,2.14E+13,8.79E+14
0.25,2.19E+13,8.52E+14
0.25,2.23E+13,8.25E+14
0.25,2.27E+13,7.99E+14
0.25,2.31E+13,7.74E+14
0.25,2.35E+13,7.50E+14
0.25,2.38E+13,7.27E+14
0.25,2.42E+13,7.05E+14
0.25,2.45E+13,6.83E+14
0.25,2.49E+13,6.62E+14
0.25,2.52E+13,6.42E+14
0.25,2.55E+13,6.23E+14
0.25,2.58E+13,6.04E+14
0.25,2.61E+13,5.86E+14
0.25,2.64E+13,5.68E+14
0.25,2.67E+13,5.51E+14
0.25,2.70E+13,5.35E+14
0.25,2.72E+13,5.19E+14
0.25,2.75E+13,5.03E+14
0.25,2.77E+13,4.88E+14
0.25,2.80E+13,4.74E+14
0.25,2.82E+13,4.60E+14
0.25,2.84E+13,4.46E+14
0.25,2.86E+13,4.33E+14
0.25,2.89E+13,4.21E+14
0.25,2.91E+13,4.08E+14
0.25,2.93E+13,3.96E+14
0.25,2.95E+13,3.85E+14
0.25,2.96E+13,3.74E+14
0.25,2.98E+13,3.63E+14
0.25,3.00E+13,3.52E+14
0.25,3.02E+13,3.42E+14
0.25,3.04E+13,3.32E+14
